estado,llave,fn_dia,fn_mes
"01","01020701102","20","10"
"01","01020701103","21","03"
"01","01020701104","12","07"
"01","01020702101","10","04"
"01","01020702102","08","06"
"01","01020702103","11","04"
"01","01020702104","09","10"
"01","01020702105","11","09"
"01","01020703101","12","12"
"01","01020703102","02","11"
"01","01020703103","21","05"
"01","01020703104","29","10"
"01","01020703105","21","10"
"01","01020704101","06","04"
"01","01020704102","08","12"
"01","01020704103","31","03"
"01","01020704104","06","12"
"01","01020704105","07","05"
"01","01020705101","03","10"
"01","01020705102","07","08"
"01","01020705103","03","06"
"01","01020705104","08","08"
"01","01020901101","29","11"
"01","01020901102","24","01"
"01","01020903101","05","08"
"01","01020903102","20","12"
"01","01020903103","26","06"
"01","01020903104","21","04"
"01","01020903105","29","12"
"01","01021101101","09","03"
"01","01021101102","12","02"
"01","01021103101","26","10"
"01","01021103102","27","05"
"01","01021104101","30","07"
"01","01021201101","04","02"
"01","01021201102","18","01"
"01","01021201103","24","10"
"01","01021201104","21","05"
"01","01021202101","21","05"
"01","01021202102","03","08"
"01","01021202103","21","05"
"01","01021203101","14","02"
"01","01021203102","14","09"
"01","01021203103","17","02"
"01","01021203104","18","10"
"01","01021204101","23","07"
"01","01021204102","29","09"
"01","01021204103","17","12"
"01","01021204104","29","11"
"01","01021204105","17","10"
"01","01021205101","17","09"
"01","01021205102","19","09"
"01","01021401101","20","04"
"01","01021402101","21","12"
"01","01021402102","14","08"
"01","01021402103","18","12"
"01","01021402104","09","09"
"01","01021404101","17","09"
"01","01021404102","18","01"
"01","01021404103","03","12"
"01","01021404104","09","05"
"01","01021404105","09","09"
"01","01021405101","12","09"
"01","01021405102","01","09"
"01","01021405103","05","11"
"01","01021501101","04","10"
"01","01021501102","23","12"
"01","01021501103","27","10"
"01","01021502101","21","01"
"01","01021502102","20","04"
"01","01021502103","30","09"
"01","01021502104","19","06"
"01","01021503101","99","99"
"01","01021503102","06","02"
"01","01021503103","11","02"
"01","01021504101","09","05"
"01","01021504102","29","01"
"01","01021504103","29","09"
"01","01021504104","25","04"
"01","01021504105","22","08"
"01","01021801101","11","09"
"01","01021801102","15","06"
"01","01021801103","03","01"
"01","01021803101","16","11"
"01","01021803102","15","03"
"01","01021803103","25","08"
"01","01021803104","03","06"
"01","01021805101","22","07"
"01","01021805102","27","02"
"01","01021805103","09","01"
"01","01022001101","04","03"
"01","01022001102","11","06"
"01","01022001103","12","02"
"01","01022002101","08","10"
"01","01022002102","03","08"
"01","01022002103","17","03"
"01","01022002104","09","01"
"01","01022002105","12","05"
"01","01022003101","02","06"
"01","01022003102","20","02"
"01","01022003103","02","04"
"01","01022003104","13","02"
"01","01022003105","04","12"
"01","01022003106","21","07"
"01","01022004101","04","05"
"01","01022004102","27","11"
"01","01022004103","03","02"
"01","01022004104","09","12"
"01","01022004105","28","07"
"01","01022004106","14","10"
"01","01022004107","10","05"
"01","01022004108","10","09"
