iter,time,f(xk),||Df(xk)||
413,0.000312,1.191669e+02,4.49632763
414,0.000314,1.191577e+02,3.07909259
415,0.001413,1.191500e+02,4.54131505
416,0.000075,1.191407e+02,3.09915576
417,0.000145,1.191331e+02,4.60066282
418,0.000084,1.191237e+02,3.12485754
419,0.000091,1.191163e+02,4.67520073
420,0.000088,1.191067e+02,3.15667500
421,0.000088,1.190995e+02,4.76599655
422,0.000088,1.190898e+02,3.19520982
423,0.000098,1.190828e+02,4.87437266
424,0.000088,1.190728e+02,3.24120170
425,0.000090,1.190661e+02,5.00192750
426,0.000096,1.190559e+02,3.29554471
427,0.000091,1.190496e+02,5.15056208
428,0.000091,1.190390e+02,3.35930674
429,0.000098,1.190331e+02,5.32251215
430,0.000095,1.190221e+02,3.43375223
431,0.000092,1.190168e+02,5.52038683
432,0.002137,1.190052e+02,3.52036845
433,0.000074,1.190005e+02,5.74721469
434,0.000133,1.189884e+02,3.62089552
435,0.000306,1.189845e+02,6.00649850
436,0.000305,1.189717e+02,3.73736066
437,0.000348,1.189686e+02,6.30228026
438,0.000314,1.189549e+02,3.87211699
439,0.000317,1.189529e+02,6.63921847
440,0.000424,1.189383e+02,4.02788781
441,0.000362,1.189375e+02,7.02267992
442,0.000394,1.189217e+02,4.20781719
443,0.000456,1.189133e+02,3.01232051
444,0.000319,1.189052e+02,4.41316847
445,0.001334,1.188964e+02,3.09467774
446,0.000080,1.188889e+02,4.65026652
447,0.000163,1.188795e+02,3.19204470
448,0.000139,1.188727e+02,4.92382822
449,0.000092,1.188627e+02,3.30717387
450,0.000091,1.188566e+02,5.23934044
451,0.000088,1.188460e+02,3.44330290
452,0.000190,1.188409e+02,5.60314579
453,0.000095,1.188293e+02,3.60421816
454,0.000090,1.188254e+02,6.02258013
455,0.000089,1.188127e+02,3.79432925
456,0.000156,1.188102e+02,6.50614367
457,0.000321,1.187962e+02,4.01875498
458,0.001254,1.187956e+02,7.06371055
459,0.000085,1.187799e+02,4.28342468
460,0.000104,1.187713e+02,3.06332776
461,0.000108,1.187637e+02,4.59029035
462,0.000104,1.187545e+02,3.19034381
463,0.000122,1.187477e+02,4.95096928
464,0.000141,1.187378e+02,3.34447439
465,0.000111,1.187321e+02,5.37433777
466,0.000129,1.187212e+02,3.53120466
467,0.000171,1.187168e+02,5.87076289
468,0.000125,1.187046e+02,3.75695950
469,0.000103,1.187020e+02,6.45235268
470,0.001220,1.186883e+02,4.02922161
471,0.000074,1.186879e+02,7.13329781
472,0.000089,1.186721e+02,4.35667963
473,0.000091,1.186635e+02,3.10964326
474,0.000090,1.186562e+02,4.74690720
475,0.000088,1.186468e+02,3.27569636
476,0.000091,1.186406e+02,5.21369121
477,0.000108,1.186301e+02,3.48178147
478,0.000093,1.186255e+02,5.77065812
479,0.000091,1.186137e+02,3.73655778
480,0.000098,1.186110e+02,6.43388447
481,0.000091,1.185974e+02,4.05016593
482,0.001026,1.185973e+02,7.22240659
483,0.000074,1.185814e+02,4.43443736
484,0.000083,1.185726e+02,3.15582750
485,0.000085,1.185657e+02,4.89835852
486,0.000089,1.185560e+02,3.35799431
487,0.000086,1.185505e+02,5.46125997
488,0.000087,1.185395e+02,3.61329836
489,0.000111,1.185359e+02,6.14174097
490,0.000090,1.185233e+02,3.93372665
491,0.000091,1.185223e+02,6.96194244
492,0.000094,1.185072e+02,4.33330751
493,0.000090,1.184987e+02,3.12447976
494,0.001755,1.184916e+02,4.82593952
495,0.000072,1.184821e+02,3.34013701
496,0.000138,1.184765e+02,5.43275547
497,0.000307,1.184657e+02,3.61754509
498,0.000321,1.184622e+02,6.17648240
499,0.000350,1.184495e+02,3.97153154
500,0.000315,1.184489e+02,7.08437582
501,0.000353,1.184336e+02,4.41951927
502,0.000378,1.184250e+02,3.17192394
503,0.000249,1.184182e+02,4.97750776
504,0.000190,1.184084e+02,3.42132870
505,0.000139,1.184035e+02,5.67232518
506,0.001100,1.183921e+02,3.74618688
507,0.000071,1.183897e+02,6.53234635
508,0.000084,1.183761e+02,4.16508187
509,0.000085,1.183680e+02,3.07092404
510,0.000087,1.183605e+02,4.69751138
511,0.000090,1.183514e+02,3.30572684
512,0.000090,1.183456e+02,5.37087877
513,0.000166,1.183350e+02,3.61749904
514,0.000215,1.183316e+02,6.21590103
515,0.000094,1.183189e+02,4.02666503
516,0.000089,1.183110e+02,3.01900684
517,0.000092,1.183033e+02,4.55387630
518,0.001007,1.182944e+02,3.25049151
519,0.000096,1.182883e+02,5.22946667
520,0.000103,1.182781e+02,3.56273403
521,0.000091,1.182743e+02,6.08707857
522,0.000084,1.182620e+02,3.97832156
523,0.000088,1.182617e+02,7.16758930
524,0.000092,1.182464e+02,4.52401810
525,0.000090,1.182376e+02,3.24573577
526,0.000089,1.182315e+02,5.22895831
527,0.000092,1.182213e+02,3.57390110
528,0.000091,1.182176e+02,6.13297167
529,0.000092,1.182053e+02,4.01583176
530,0.001046,1.181974e+02,3.02715934
531,0.000072,1.181898e+02,4.59871485
532,0.000079,1.181809e+02,3.28788322
533,0.000084,1.181751e+02,5.36039790
534,0.000088,1.181646e+02,3.64764732
535,0.000087,1.181616e+02,6.34418056
536,0.000089,1.181488e+02,4.13578348
537,0.000100,1.181407e+02,3.08588696
538,0.000154,1.181335e+02,4.78493667
539,0.000125,1.181243e+02,3.38261597
540,0.000111,1.181192e+02,5.63824799
541,0.000113,1.181082e+02,3.79462970
542,0.001327,1.181064e+02,6.74652224
543,0.000084,1.180925e+02,4.35624119
544,0.000091,1.180841e+02,3.19122888
545,0.000106,1.180777e+02,5.10472718
546,0.000290,1.180678e+02,3.54330537
547,0.000120,1.180640e+02,6.09134485
548,0.000098,1.180519e+02,4.03294810
549,0.000140,1.180441e+02,3.05132534
550,0.000136,1.180367e+02,4.69837907
551,0.000107,1.180276e+02,3.35711253
552,0.000108,1.180224e+02,5.58930021
553,0.000100,1.180116e+02,3.79087932
554,0.001958,1.180099e+02,6.76502457
555,0.000091,1.179960e+02,4.39307452
556,0.000103,1.179876e+02,3.22051558
557,0.000271,1.179814e+02,5.20866905
558,0.000318,1.179714e+02,3.61094836
559,0.000363,1.179682e+02,6.29843019
560,0.000327,1.179556e+02,4.16199927
561,0.000331,1.179476e+02,3.11967544
562,0.000367,1.179407e+02,4.92026094
563,0.000321,1.179313e+02,3.47770396
564,0.000246,1.179271e+02,5.94614470
565,0.000131,1.179154e+02,3.99110208
566,0.001618,1.179077e+02,3.04668900
567,0.000102,1.179003e+02,4.70677491
568,0.000100,1.178913e+02,3.38104050
569,0.000118,1.178864e+02,5.68611799
570,0.000105,1.178754e+02,3.86720592
571,0.000111,1.178745e+02,7.00327694
572,0.000101,1.178601e+02,4.55608980
573,0.000102,1.178514e+02,3.31473376
574,0.000103,1.178460e+02,5.50690914
575,0.000096,1.178354e+02,3.78451926
576,0.000093,1.178338e+02,6.79732650
577,0.000103,1.178200e+02,4.45782895
578,0.001318,1.178116e+02,3.27312496
579,0.000098,1.178058e+02,5.39519149
580,0.000103,1.177955e+02,3.73537850
581,0.000112,1.177935e+02,6.67706872
582,0.000102,1.177801e+02,4.40407269
583,0.000101,1.177717e+02,3.25256681
584,0.000101,1.177659e+02,5.34342676
585,0.000096,1.177557e+02,3.71644731
586,0.000319,1.177536e+02,6.63699369
587,0.000132,1.177403e+02,4.39297358
588,0.000097,1.177320e+02,3.25196631
589,0.000096,1.177261e+02,5.34896984
590,0.001211,1.177159e+02,3.72607913
591,0.000085,1.177139e+02,6.67256708
592,0.000078,1.177006e+02,4.42161411
593,0.000104,1.176922e+02,3.27042848
594,0.000109,1.176865e+02,5.41027946
595,0.000096,1.176762e+02,3.76437666
596,0.000099,1.176746e+02,6.78538101
597,0.000092,1.176610e+02,4.49232823
598,0.000092,1.176525e+02,3.30924899
599,0.000099,1.176472e+02,5.53007291
600,0.000093,1.176366e+02,3.83291551
601,0.000097,1.176356e+02,6.97778695
602,0.002231,1.176216e+02,4.60642661
603,0.000218,1.176129e+02,3.36992983
604,0.000311,1.176080e+02,5.71217405
605,0.000326,1.175971e+02,3.93503266
606,0.000376,1.175971e+02,7.25826234
607,0.000360,1.175823e+02,4.77053004
608,0.000324,1.175733e+02,3.45631200
609,0.000336,1.175691e+02,5.96485756
610,0.000360,1.175577e+02,4.07573620
611,0.000315,1.175499e+02,3.12033134
612,0.000242,1.175431e+02,4.98839723
613,0.000353,1.175338e+02,3.57169794
614,0.001393,1.175306e+02,6.29532257
615,0.000093,1.175183e+02,4.26084951
616,0.000128,1.175103e+02,3.21290130
617,0.000093,1.175042e+02,5.27321242
618,0.000097,1.174943e+02,3.72381799
619,0.000095,1.174925e+02,6.72025418
620,0.000095,1.174792e+02,4.50050414
621,0.000092,1.174708e+02,3.33469460
622,0.000095,1.174657e+02,5.63770134
623,0.000090,1.174550e+02,3.92146974
624,0.000097,1.174550e+02,7.25945897
625,0.000111,1.174403e+02,4.80837965
626,0.001170,1.174313e+02,3.49405389
627,0.000090,1.174275e+02,6.09990300
628,0.000098,1.174159e+02,4.17606787
629,0.000088,1.174080e+02,3.18188833
630,0.000094,1.174017e+02,5.19712263
631,0.000092,1.173920e+02,3.69994397
632,0.000091,1.173900e+02,6.67885569
633,0.000090,1.173769e+02,4.50109758
634,0.000094,1.173685e+02,3.34646207
635,0.000089,1.173636e+02,5.69006080
636,0.000097,1.173528e+02,3.96692877
637,0.000101,1.173453e+02,3.08631240
638,0.000092,1.173383e+02,4.91416168
639,0.001030,1.173292e+02,3.56169540
640,0.000074,1.173260e+02,6.31032243
641,0.000083,1.173139e+02,4.31117360
642,0.000088,1.173058e+02,3.25821645
643,0.000088,1.173002e+02,5.44162246
644,0.000087,1.172901e+02,3.84438513
645,0.000095,1.172894e+02,7.09319577
646,0.000091,1.172754e+02,4.75541405
647,0.000093,1.172665e+02,3.48759441
648,0.000095,1.172628e+02,6.11378126
649,0.000096,1.172512e+02,4.21523120
650,0.000188,1.172433e+02,3.21652142
651,0.001190,1.172373e+02,5.32682006
652,0.000074,1.172274e+02,3.79263033
653,0.000090,1.172264e+02,6.96734319
654,0.000097,1.172127e+02,4.69879282
655,0.000193,1.172040e+02,3.46575870
656,0.000091,1.172001e+02,6.06312569
657,0.000092,1.171886e+02,4.19881317
658,0.000096,1.171808e+02,3.21404352
659,0.000091,1.171748e+02,5.32875430
660,0.000091,1.171650e+02,3.80277408
