iter,time,f(xk),||Df(xk)||
514,0.000098,1.674791e+02,7.23114296
515,0.000107,1.674575e+02,5.76630055
516,0.000093,1.674474e+02,10.50887336
517,0.000102,1.674166e+02,7.78464074
518,0.000092,1.673933e+02,6.11543366
519,0.000093,1.673874e+02,11.47853516
520,0.000097,1.673529e+02,8.41975325
521,0.000091,1.673277e+02,6.51899163
522,0.000091,1.673271e+02,12.58354556
523,0.000098,1.672881e+02,9.14847027
524,0.000093,1.672606e+02,6.98542894
525,0.000112,1.672383e+02,5.70181102
526,0.000095,1.672224e+02,9.98225836
527,0.000100,1.671920e+02,7.52327276
528,0.000098,1.671681e+02,6.03824258
529,0.000117,1.671559e+02,10.93996293
530,0.000112,1.671221e+02,8.14533196
531,0.000102,1.670963e+02,6.42893362
532,0.000101,1.670891e+02,12.04035240
533,0.000108,1.670510e+02,8.86501396
534,0.001418,1.670230e+02,6.88333977
535,0.000074,1.670224e+02,13.30568446
536,0.000085,1.669791e+02,9.69817468
537,0.000089,1.669485e+02,7.41278021
538,0.000084,1.669237e+02,6.04485160
539,0.000086,1.669068e+02,10.66074096
540,0.000092,1.668729e+02,8.02928523
541,0.000087,1.668464e+02,6.42261768
542,0.000099,1.668348e+02,11.77775565
543,0.000096,1.667968e+02,8.75044207
544,0.000089,1.667682e+02,6.86683137
545,0.000090,1.667638e+02,13.07503199
546,0.000092,1.667207e+02,9.59527731
547,0.000096,1.666897e+02,7.39165322
548,0.000090,1.666643e+02,6.07204246
549,0.000093,1.666454e+02,10.58354910
550,0.000106,1.666113e+02,8.01263833
551,0.000123,1.665845e+02,6.43796638
552,0.000136,1.665718e+02,11.74475744
553,0.000148,1.665339e+02,8.75155696
554,0.000095,1.665052e+02,6.87894146
555,0.000092,1.665009e+02,13.10990268
556,0.000100,1.664581e+02,9.63214424
557,0.000102,1.664272e+02,7.41371836
558,0.000099,1.664021e+02,6.07041369
559,0.000104,1.663848e+02,10.67910919
560,0.000109,1.663511e+02,8.06269130
561,0.000115,1.663248e+02,6.43985437
562,0.000105,1.663151e+02,11.92725526
563,0.000108,1.662775e+02,8.85256980
564,0.000136,1.662496e+02,6.90300466
565,0.000104,1.662265e+02,5.73043498
566,0.001444,1.662073e+02,9.80917346
567,0.000113,1.661773e+02,7.48181307
568,0.000105,1.661534e+02,6.04553535
569,0.000087,1.661413e+02,10.96693639
570,0.000089,1.661082e+02,8.20349023
571,0.000097,1.660831e+02,6.45720361
572,0.000095,1.660802e+02,12.36188519
573,0.000093,1.660428e+02,9.09640652
574,0.000101,1.660160e+02,6.98916095
575,0.000090,1.659944e+02,5.69219162
576,0.000092,1.659817e+02,10.18917238
577,0.000111,1.659524e+02,7.66541499
578,0.000092,1.659299e+02,6.07343775
579,0.000092,1.659254e+02,11.51927573
580,0.000097,1.658923e+02,8.51462706
581,0.000095,1.658683e+02,6.57760258
582,0.000091,1.658488e+02,5.38743806
583,0.000106,1.658362e+02,9.56426202
584,0.000101,1.658099e+02,7.22744927
585,0.000098,1.657895e+02,5.75528207
586,0.000097,1.657843e+02,10.84997042
587,0.000120,1.657546e+02,8.04995386
